Date,Close,High,Low,Open,Volume,ESG_Score,Title_Sentiment
2019-01-02,141.55435180664062,142.418811925913,138.24061778637272,138.24961756986036,1716400,43.38,0.0
2019-01-03,137.13302612304688,138.98801203120956,136.80885529580874,138.72686716864493,1775500,61.25,0.4019
2019-01-04,141.04110717773438,141.9325667601807,138.09655626995092,138.51977972954575,1801300,79.23,0.0
2019-01-07,140.91502380371094,142.3107459525685,139.70837954902967,140.27568193219597,1830200,64.76,0.1715521669341894
2019-01-08,142.40982055664062,142.77901783897994,139.7534275610343,140.55484810018595,2207300,67.35,0.1715521669341894
2019-01-09,142.6889190673828,143.65241777215397,140.77090769883876,141.13109130545672,2099900,59.73,0.0
2019-01-10,145.74156188964844,145.85861403744082,142.5899063605932,142.9050636694221,2093900,75.97,0.0
2019-01-11,144.26475524902344,144.76000430349913,143.50834764448618,144.579912489133,1380400,43.86,0.296
2019-01-14,142.2927703857422,143.62546679465692,142.00461238374453,142.60792774278113,2004800,44.03,0.0
2019-01-15,141.58135986328125,142.15766200892983,140.9600313215406,141.23017595796614,2110700,42.21,0.296
2019-01-16,141.5904083251953,142.65296008650182,141.44632931819874,141.85153950276256,1382100,69.11,0.1779
2019-01-17,141.60841369628906,141.95959770264633,140.66292780695622,140.83400617712542,2176500,73.55,0.0
2019-01-18,144.7870330810547,145.38134849898864,142.2837194917129,142.9590741738762,2494800,40.59,0.1715521669341894
2019-01-22,144.83209228515625,145.67853921031048,143.79655370062972,145.5254604298231,1699100,44.13,0.296
2019-01-23,143.11215209960938,145.0571768707243,141.78846957107055,144.58894085333176,1569500,78.9,0.0
2019-01-24,141.70742797851562,142.19369108051495,140.86098118180567,141.92354643941835,2528000,52.06,0.0
2019-01-25,143.0311737060547,144.17477862855407,142.85108179655944,142.89610820896624,1242700,72.31,0.0
2019-01-28,142.46380615234375,142.62588465928496,141.2661756928222,142.07659570777693,1422500,55.07,0.4215
2019-01-29,145.1742706298828,145.876638531007,143.49039037207595,143.68849554830368,1558300,48.19,0.4215
2019-01-30,146.70504760742188,147.45244178559304,145.12022020246195,145.68750880314496,1113500,58.86,0.25
2019-01-31,146.7861328125,147.1553301257204,143.74254271020126,145.13826519166497,1645900,70.56,0.0
2019-02-01,149.26243591308594,149.38850161420666,147.1913585004071,147.5965687011429,1324300,70.3,0.296
2019-02-04,147.2273406982422,149.19937883629052,146.97520934855024,149.01027345395752,2106500,57.23,0.1715521669341894
2019-02-05,148.5690460205078,149.4695190253812,147.49748094628805,148.81216383893172,2358600,75.97,0.0
2019-02-06,147.1552734375,148.23583812371538,146.81308935315036,147.6325229550795,1124800,57.96,0.296
2019-02-07,144.69699096679688,146.09272669503852,143.5623863311339,145.6514900322667,1361000,51.76,0.0
2019-02-08,145.1742706298828,145.5254545804449,143.2472587939549,144.13873208697962,1557900,73.83,0.296
2019-02-11,145.2913055419922,145.53442332813728,144.6429639653537,145.03016071077974,1128400,78.65,0.296
2019-02-12,150.8562469482422,150.87426025623702,147.57852563971608,147.79464411526976,1772000,59.0,0.296
2019-02-13,150.72117614746094,151.7207017337681,150.18988663140158,150.46003128123846,1599300,53.24,0.1715521669341894
2019-02-14,149.9287872314453,150.91931324374133,149.41551091412904,150.06385271488088,1104100,55.7,0.296
2019-02-15,151.76573181152344,153.71977055022106,151.0723774101835,153.56667803031044,2573600,73.04,0.0
